Trainer started: <tpg.trainer.Trainer object at 0x14f1f2b73730>
Gen: 0, Best Score: -101.43552311435523, Avg Score: -102.06488240064873, Time: 0.005475035044882033
Gen: 1, Best Score: -101.21654501216544, Avg Score: -102.04801297648005, Time: 0.008988129695256551
Gen: 2, Best Score: -101.16788321167886, Avg Score: -102.01751824817516, Time: 0.0122924581501219
Gen: 3, Best Score: -100.99756690997567, Avg Score: -101.98783454987833, Time: 0.015256117383639018
Gen: 4, Best Score: -100.99756690997567, Avg Score: -101.9231143552312, Time: 0.018895860579278733
Gen: 5, Best Score: -101.11922141119223, Avg Score: -101.84866180048664, Time: 0.022451746463775634
Gen: 6, Best Score: -101.02189781021897, Avg Score: -101.7192214111922, Time: 0.026558438075913324
Gen: 7, Best Score: -100.85158150851582, Avg Score: -101.60291970802918, Time: 0.030672669675615098
Gen: 8, Best Score: -100.85158150851582, Avg Score: -101.51370640713708, Time: 0.03465538071261512
Gen: 9, Best Score: -100.8272506082725, Avg Score: -101.4567721005677, Time: 0.038665098547935484
Gen: 10, Best Score: -0.07822893337364133, Avg Score: -0.1294042040670956, Time: 0.049933675527572635
Gen: 11, Best Score: -100.70559610705595, Avg Score: -101.03990267639907, Time: 0.052859377000066966
Gen: 12, Best Score: -100.65693430656934, Avg Score: -100.97031630170324, Time: 0.05533842523892721
Gen: 13, Best Score: -100.65693430656934, Avg Score: -100.90786699107873, Time: 0.05807476593388451
Gen: 14, Best Score: -100.60827250608273, Avg Score: -100.84282238442825, Time: 0.060758982631895275
Gen: 15, Best Score: -100.58394160583941, Avg Score: -100.81476074614757, Time: 0.06330036057366265
Gen: 16, Best Score: -100.60827250608273, Avg Score: -100.80389294403896, Time: 0.06594375080532498
Gen: 17, Best Score: -100.58394160583941, Avg Score: -100.76415247364159, Time: 0.06895064486397637
Gen: 18, Best Score: -100.58394160583941, Avg Score: -100.76074614760752, Time: 0.0721215244796541
Gen: 19, Best Score: -100.5596107055961, Avg Score: -100.75733982157345, Time: 0.07550993535253736
Gen: 20, Best Score: -0.07728867132771483, Avg Score: -0.08115695111264666, Time: 0.08910968489117092
Gen: 21, Best Score: -100.5352798053528, Avg Score: -100.72181670721824, Time: 0.0926370514763726
Gen: 22, Best Score: -100.5596107055961, Avg Score: -100.72587185725871, Time: 0.09667162815729777
Gen: 23, Best Score: -100.53527980535279, Avg Score: -100.7020275750203, Time: 0.10110461023118761
Gen: 24, Best Score: -100.51094890510949, Avg Score: -100.6960259529603, Time: 0.10535539110501607
Gen: 25, Best Score: -100.51094890510949, Avg Score: -100.69180859691814, Time: 0.1101243844959471
Gen: 26, Best Score: -100.5352798053528, Avg Score: -100.67850770478509, Time: 0.11520943270789252
Gen: 27, Best Score: -100.51094890510949, Avg Score: -100.67477696674777, Time: 0.12036715335316128
Gen: 28, Best Score: -100.5352798053528, Avg Score: -100.67039740470398, Time: 0.12618997938103146
Gen: 29, Best Score: -100.51094890510949, Avg Score: -100.66488240064885, Time: 0.13132350716325972
