Trainer started: <tpg.trainer.Trainer object at 0x1489c5e53730>
Gen: 0, Best Score: -0.2712519852771625, Avg Score: -0.3199218989096851, Time: 0.004477666748894585
Gen: 1, Best Score: -0.2721034404371625, Avg Score: -0.3180212835809518, Time: 0.008042377962006462
Gen: 2, Best Score: -0.2799772626371625, Avg Score: -0.31505228184928297, Time: 0.012120041449864706
Gen: 3, Best Score: -0.256477543555394, Avg Score: -0.3160872621117194, Time: 0.015729723109139337
Gen: 4, Best Score: -0.2569097564771625, Avg Score: -0.3132747763039127, Time: 0.01870952864487966
Gen: 5, Best Score: -0.25356252207716246, Avg Score: -0.3126308707889742, Time: 0.02177886962890625
Gen: 6, Best Score: -0.2803187336225835, Avg Score: -0.31136517346378895, Time: 0.025143072538905673
Gen: 7, Best Score: -0.13546461623706837, Avg Score: -0.30855983433254086, Time: 0.029437865416208905
Gen: 8, Best Score: -0.13546461623706837, Avg Score: -0.30555698341241694, Time: 0.032969538105858696
Gen: 9, Best Score: -0.13546461623706837, Avg Score: -0.3050627385635895, Time: 0.03678302473492093
Gen: 10, Best Score: -97.40900188487522, Avg Score: -100.74279506175452, Time: 0.046540875103738576
Gen: 11, Best Score: -0.13546461623706835, Avg Score: -0.29295926931758276, Time: 0.049238298601574366
Gen: 12, Best Score: -0.13546461623706682, Avg Score: -0.28249088653096704, Time: 0.05175342679023743
Gen: 13, Best Score: -0.13536198652670964, Avg Score: -0.2562388751338406, Time: 0.05498337964216868
Gen: 14, Best Score: -0.12277295056556894, Avg Score: -0.2245345458334416, Time: 0.05765530427296956
Gen: 15, Best Score: -0.12570897423050392, Avg Score: -0.1827792223813362, Time: 0.06008196095625559
Gen: 16, Best Score: -0.11904543148929132, Avg Score: -0.14605082312030546, Time: 0.062038269307878285
Gen: 17, Best Score: -0.11206670367516654, Avg Score: -0.15042121972183592, Time: 0.06414993597401512
Gen: 18, Best Score: -0.1060003404126526, Avg Score: -0.14514181604085963, Time: 0.06636641416284773
Gen: 19, Best Score: -0.11450075934998896, Avg Score: -0.14348660685114328, Time: 0.06871105670928955
